cbsa_code,cbsa,geoid5,state,county,fn16,kb16,kb24
99999,Rural Alaska,02016,Alaska,Aleutians West Census Area,,X,X
27940,"Juneau, AK",02110,Alaska,Juneau City and Borough,,X,X
99999,Rural Alaska,02122,Alaska,Kenai Peninsula Borough,,X,X
28540,"Ketchikan, AK",02130,Alaska,Ketchikan Gateway Borough,,X,X
99999,Rural Alaska,02150,Alaska,Kodiak Island Borough,,X,X
49340,"Worcester, MA-CT",09150,Connecticut,Windham County,,,X
13940,"Blackfoot, ID",16011,Idaho,Bingham County,,X,X
15420,"Burley, ID",16031,Idaho,Cassia County,,X,X
39940,"Rexburg, ID",16065,Idaho,Madison County,,X,X
36620,"Ontario, OR-ID",16075,Idaho,Payette County,,X,X
27220,"Jackson, WY-ID",16081,Idaho,Teton County,,X,X
46300,"Twin Falls, ID",16083,Idaho,Twin Falls County,,X,
47700,"Warsaw, IN",18085,Indiana,Kosciusko County,,X,X
38500,"Plymouth, IN",18099,Indiana,Marshall County,,X,X
99999,Rural Indiana,18149,Indiana,Starke County,,X,X
11420,"Angola, IN",18151,Indiana,Steuben County,,X,X
99999,Rural Maine,23003,Maine,Aroostook County,,X,X
99999,Rural Maine,23009,Maine,Hancock County,,X,X
12300,"Augusta-Waterville, ME",23011,Maine,Kennebec County,,X,X
99999,Rural Maine,23013,Maine,Knox County,,X,X
99999,Rural Maine,23017,Maine,Oxford County,,X,X
99999,Rural Maine,23027,Maine,Waldo County,,X,X
10300,"Adrian, MI",26091,Michigan,Lenawee County,,X,X
36460,"Olean, NY",36009,New York,Cattaraugus County,,X,X
12180,"Auburn, NY",36011,New York,Cayuga County,X,X,X
27460,"Jamestown-Dunkirk-Fredonia, NY",36013,New York,Chautauqua County,X,X,X
38460,"Plattsburgh, NY",36019,New York,Clinton County,,X,X
26460,"Hudson, NY",36021,New York,Columbia County,X,X,X
18660,"Cortland, NY",36023,New York,Cortland County,X,X,X
31660,"Malone, NY",36033,New York,Franklin County,X,X,X
24100,"Gloversville, NY",36035,New York,Fulton County,X,X,X
12860,"Batavia, NY",36037,New York,Genesee County,X,X,X
99999,Rural New York,36039,New York,Greene County,X,X,X
99999,Rural New York,36049,New York,Lewis County,,X,X
11220,"Amsterdam, NY",36057,New York,Montgomery County,X,X,X
36580,"Oneonta, NY",36077,New York,Otsego County,,X,X
36300,"Ogdensburg-Massena, NY",36089,New York,St. Lawrence County,X,X,X
99999,Rural New York,36105,New York,Sullivan County,X,X,X
99999,Rural New York,36121,New York,Wyoming County,X,,X
11780,"Ashtabula, OH",39007,Ohio,Ashtabula County,,X,
41400,"Salem, OH",39029,Ohio,Columbiana County,,X,X
19580,"Defiance, OH",39039,Ohio,Defiance County,,X,X
41780,"Sandusky, OH",39043,Ohio,Erie County,,X,
22300,"Findlay, OH",39063,Ohio,Hancock County,,X,X
35940,"Norwalk, OH",39077,Ohio,Huron County,,X,X
45780,"Toledo, OH",39123,Ohio,Ottawa County,,X,
23380,"Fremont, OH",39143,Ohio,Sandusky County,,X,X
26220,"Hood River, OR",41027,Oregon,Hood River County,,X,X
47620,"Warren, PA",42123,Pennsylvania,Warren County,X,,X
36260,"Ogden-Clearfield, UT",49003,Utah,Box Elder County,,,X
