ZCTA_5,PlanningRegion_GeoID,PlanningRegion
06001,9110,Capitol Planning Region
06002,9110,Capitol Planning Region
06010,9140,Naugatuck Valley Planning Region
06013,9160,Northwest Hills Planning Region
06016,9110,Capitol Planning Region
06018,9160,Northwest Hills Planning Region
06019,9110,Capitol Planning Region
06020,9110,Capitol Planning Region
06021,9160,Northwest Hills Planning Region
06022,9110,Capitol Planning Region
06023,9110,Capitol Planning Region
06024,9160,Northwest Hills Planning Region
06026,9110,Capitol Planning Region
06027,9160,Northwest Hills Planning Region
06029,9110,Capitol Planning Region
06031,9160,Northwest Hills Planning Region
06032,9110,Capitol Planning Region
06033,9110,Capitol Planning Region
06035,9110,Capitol Planning Region
06037,9110,Capitol Planning Region
06039,9160,Northwest Hills Planning Region
06040,9110,Capitol Planning Region
06042,9110,Capitol Planning Region
06043,9110,Capitol Planning Region
06051,9110,Capitol Planning Region
06052,9110,Capitol Planning Region
06053,9110,Capitol Planning Region
06057,9160,Northwest Hills Planning Region
06058,9160,Northwest Hills Planning Region
06059,9110,Capitol Planning Region
06060,9110,Capitol Planning Region
06061,9160,Northwest Hills Planning Region
06062,9110,Capitol Planning Region
06063,9160,Northwest Hills Planning Region
06065,9160,Northwest Hills Planning Region
06066,9110,Capitol Planning Region
06067,9110,Capitol Planning Region
06068,9160,Northwest Hills Planning Region
06069,9160,Northwest Hills Planning Region
06070,9110,Capitol Planning Region
06071,9110,Capitol Planning Region
06072,9110,Capitol Planning Region
06073,9110,Capitol Planning Region
06074,9110,Capitol Planning Region
06076,9110,Capitol Planning Region
06078,9110,Capitol Planning Region
06079,9160,Northwest Hills Planning Region
06080,9110,Capitol Planning Region
06081,9110,Capitol Planning Region
06082,9110,Capitol Planning Region
06084,9110,Capitol Planning Region
06085,9110,Capitol Planning Region
06088,9110,Capitol Planning Region
06089,9110,Capitol Planning Region
06090,9110,Capitol Planning Region
06091,9160,Northwest Hills Planning Region
06092,9110,Capitol Planning Region
06093,9110,Capitol Planning Region
06095,9110,Capitol Planning Region
06096,9110,Capitol Planning Region
06098,9160,Northwest Hills Planning Region
06103,9110,Capitol Planning Region
06105,9110,Capitol Planning Region
06106,9110,Capitol Planning Region
06107,9110,Capitol Planning Region
06108,9110,Capitol Planning Region
06109,9110,Capitol Planning Region
06110,9110,Capitol Planning Region
06111,9110,Capitol Planning Region
06112,9110,Capitol Planning Region
06114,9110,Capitol Planning Region
06117,9110,Capitol Planning Region
06118,9110,Capitol Planning Region
06119,9110,Capitol Planning Region
06120,9110,Capitol Planning Region
06226,9180,Southeastern Connecticut Planning Region
06231,9110,Capitol Planning Region
06232,9110,Capitol Planning Region
06234,9150,Northeastern Connecticut Planning Region
06235,9150,Northeastern Connecticut Planning Region
06237,9110,Capitol Planning Region
06238,9110,Capitol Planning Region
06239,9150,Northeastern Connecticut Planning Region
06241,9150,Northeastern Connecticut Planning Region
06242,9150,Northeastern Connecticut Planning Region
06243,9150,Northeastern Connecticut Planning Region
06247,9150,Northeastern Connecticut Planning Region
06248,9110,Capitol Planning Region
06249,9180,Southeastern Connecticut Planning Region
06250,9110,Capitol Planning Region
06254,9180,Southeastern Connecticut Planning Region
06255,9150,Northeastern Connecticut Planning Region
06256,9180,Southeastern Connecticut Planning Region
06258,9150,Northeastern Connecticut Planning Region
06259,9150,Northeastern Connecticut Planning Region
06260,9150,Northeastern Connecticut Planning Region
06262,9150,Northeastern Connecticut Planning Region
06263,9150,Northeastern Connecticut Planning Region
06264,9150,Northeastern Connecticut Planning Region
06266,9180,Southeastern Connecticut Planning Region
06268,9110,Capitol Planning Region
06269,9110,Capitol Planning Region
06277,9150,Northeastern Connecticut Planning Region
06278,9150,Northeastern Connecticut Planning Region
06279,9110,Capitol Planning Region
06280,9180,Southeastern Connecticut Planning Region
06281,9150,Northeastern Connecticut Planning Region
06282,9150,Northeastern Connecticut Planning Region
06320,9180,Southeastern Connecticut Planning Region
06330,9180,Southeastern Connecticut Planning Region
06331,9150,Northeastern Connecticut Planning Region
06332,9150,Northeastern Connecticut Planning Region
06333,9180,Southeastern Connecticut Planning Region
06334,9180,Southeastern Connecticut Planning Region
06335,9180,Southeastern Connecticut Planning Region
06336,9180,Southeastern Connecticut Planning Region
06338,9180,Southeastern Connecticut Planning Region
06339,9180,Southeastern Connecticut Planning Region
06340,9180,Southeastern Connecticut Planning Region
06350,9180,Southeastern Connecticut Planning Region
06351,9180,Southeastern Connecticut Planning Region
06353,9180,Southeastern Connecticut Planning Region
06354,9150,Northeastern Connecticut Planning Region
06355,9180,Southeastern Connecticut Planning Region
06357,9180,Southeastern Connecticut Planning Region
06359,9180,Southeastern Connecticut Planning Region
06360,9180,Southeastern Connecticut Planning Region
06365,9180,Southeastern Connecticut Planning Region
06370,9180,Southeastern Connecticut Planning Region
06371,9130,Lower Connecticut River Valley Planning Region
06373,9150,Northeastern Connecticut Planning Region
06374,9150,Northeastern Connecticut Planning Region
06375,9180,Southeastern Connecticut Planning Region
06376,9130,Lower Connecticut River Valley Planning Region
06377,9150,Northeastern Connecticut Planning Region
06378,9180,Southeastern Connecticut Planning Region
06379,9180,Southeastern Connecticut Planning Region
06380,9180,Southeastern Connecticut Planning Region
06382,9180,Southeastern Connecticut Planning Region
06384,9150,Northeastern Connecticut Planning Region
06385,9180,Southeastern Connecticut Planning Region
06387,9150,Northeastern Connecticut Planning Region
06389,9180,Southeastern Connecticut Planning Region
06390,9180,Southeastern Connecticut Planning Region
06401,9140,Naugatuck Valley Planning Region
06403,9140,Naugatuck Valley Planning Region
06405,9170,South Central Connecticut Planning Region
06409,9130,Lower Connecticut River Valley Planning Region
06410,9140,Naugatuck Valley Planning Region
06412,9130,Lower Connecticut River Valley Planning Region
06413,9130,Lower Connecticut River Valley Planning Region
06414,9130,Lower Connecticut River Valley Planning Region
06415,9180,Southeastern Connecticut Planning Region
06416,9130,Lower Connecticut River Valley Planning Region
06417,9130,Lower Connecticut River Valley Planning Region
06418,9140,Naugatuck Valley Planning Region
06419,9130,Lower Connecticut River Valley Planning Region
06420,9180,Southeastern Connecticut Planning Region
06422,9130,Lower Connecticut River Valley Planning Region
06423,9130,Lower Connecticut River Valley Planning Region
06424,9130,Lower Connecticut River Valley Planning Region
06426,9130,Lower Connecticut River Valley Planning Region
06437,9170,South Central Connecticut Planning Region
06438,9130,Lower Connecticut River Valley Planning Region
06439,9130,Lower Connecticut River Valley Planning Region
06441,9130,Lower Connecticut River Valley Planning Region
06442,9130,Lower Connecticut River Valley Planning Region
06443,9170,South Central Connecticut Planning Region
06444,9110,Capitol Planning Region
06447,9110,Capitol Planning Region
06450,9170,South Central Connecticut Planning Region
06451,9170,South Central Connecticut Planning Region
06455,9130,Lower Connecticut River Valley Planning Region
06456,9130,Lower Connecticut River Valley Planning Region
06457,9130,Lower Connecticut River Valley Planning Region
06459,9130,Lower Connecticut River Valley Planning Region
06460,9170,South Central Connecticut Planning Region
06461,9170,South Central Connecticut Planning Region
06467,9110,Capitol Planning Region
06468,9120,Greater Bridgeport Planning Region
06469,9130,Lower Connecticut River Valley Planning Region
06470,9190,Western Connecticut Planning Region
06471,9170,South Central Connecticut Planning Region
06472,9170,South Central Connecticut Planning Region
06473,9170,South Central Connecticut Planning Region
06475,9130,Lower Connecticut River Valley Planning Region
06477,9170,South Central Connecticut Planning Region
06478,9140,Naugatuck Valley Planning Region
06479,9110,Capitol Planning Region
06480,9130,Lower Connecticut River Valley Planning Region
06481,9130,Lower Connecticut River Valley Planning Region
06482,9190,Western Connecticut Planning Region
06483,9140,Naugatuck Valley Planning Region
06484,9140,Naugatuck Valley Planning Region
06488,9140,Naugatuck Valley Planning Region
06489,9110,Capitol Planning Region
06492,9170,South Central Connecticut Planning Region
06498,9130,Lower Connecticut River Valley Planning Region
06510,9170,South Central Connecticut Planning Region
06511,9170,South Central Connecticut Planning Region
06512,9170,South Central Connecticut Planning Region
06513,9170,South Central Connecticut Planning Region
06514,9170,South Central Connecticut Planning Region
06515,9170,South Central Connecticut Planning Region
06516,9170,South Central Connecticut Planning Region
06517,9170,South Central Connecticut Planning Region
06518,9170,South Central Connecticut Planning Region
06519,9170,South Central Connecticut Planning Region
06524,9170,South Central Connecticut Planning Region
06525,9170,South Central Connecticut Planning Region
06604,9120,Greater Bridgeport Planning Region
06605,9120,Greater Bridgeport Planning Region
06606,9120,Greater Bridgeport Planning Region
06607,9120,Greater Bridgeport Planning Region
06608,9120,Greater Bridgeport Planning Region
06610,9120,Greater Bridgeport Planning Region
06611,9120,Greater Bridgeport Planning Region
06612,9120,Greater Bridgeport Planning Region
06614,9120,Greater Bridgeport Planning Region
06615,9120,Greater Bridgeport Planning Region
06702,9140,Naugatuck Valley Planning Region
06704,9140,Naugatuck Valley Planning Region
06705,9140,Naugatuck Valley Planning Region
06706,9140,Naugatuck Valley Planning Region
06708,9140,Naugatuck Valley Planning Region
06710,9140,Naugatuck Valley Planning Region
06712,9140,Naugatuck Valley Planning Region
06716,9140,Naugatuck Valley Planning Region
06750,9160,Northwest Hills Planning Region
06751,9140,Naugatuck Valley Planning Region
06752,9190,Western Connecticut Planning Region
06753,9160,Northwest Hills Planning Region
06754,9160,Northwest Hills Planning Region
06755,9190,Western Connecticut Planning Region
06756,9160,Northwest Hills Planning Region
06757,9160,Northwest Hills Planning Region
06758,9160,Northwest Hills Planning Region
06759,9160,Northwest Hills Planning Region
06762,9140,Naugatuck Valley Planning Region
06763,9160,Northwest Hills Planning Region
06770,9140,Naugatuck Valley Planning Region
06776,9190,Western Connecticut Planning Region
06777,9160,Northwest Hills Planning Region
06778,9160,Northwest Hills Planning Region
06779,9140,Naugatuck Valley Planning Region
06782,9140,Naugatuck Valley Planning Region
06783,9160,Northwest Hills Planning Region
06784,9190,Western Connecticut Planning Region
06785,9160,Northwest Hills Planning Region
06786,9140,Naugatuck Valley Planning Region
06787,9140,Naugatuck Valley Planning Region
06790,9160,Northwest Hills Planning Region
06791,9160,Northwest Hills Planning Region
06793,9160,Northwest Hills Planning Region
06794,9160,Northwest Hills Planning Region
06795,9140,Naugatuck Valley Planning Region
06796,9160,Northwest Hills Planning Region
06798,9140,Naugatuck Valley Planning Region
06801,9190,Western Connecticut Planning Region
06804,9190,Western Connecticut Planning Region
06807,9190,Western Connecticut Planning Region
06810,9190,Western Connecticut Planning Region
