ADDRESBR,ADDRESS,ASSET,BKCLASS,BKMO,BRCENM,BRNUM,BRSERTYP,BRSERTYPDESC,CALL,CB,CBSA_DIV_NAMB,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CITY2BR,CITYBR,CITYHCR,CLCODE,CNTRYNA,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DENOVO,DEPDOM,DEPSUM,DEPSUMBR,DIVISIONB,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,HCTMULT,ID,INSAGNT1,INSBRDD,INSBRTS,INSURED,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NAMEFULL,NAMEHCR,NECNAMB,NECTABR,OCCDIST,OCCNAME,PLACENUM,REGAGNT,RSSDHCR,RSSDID,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,SPECDESC,SPECGRP,STALP,STALPBR,STALPHCR,STCNTY,STCNTYBR,STNAME,STNAMEBR,STNUMBR,UNINUMBR,UNIT,USA,YEAR,ZIP,ZIPBR,ZIPBR_RAW,ZIP_RAW
"487 Salmon Way, Suite 101",127 Public Sq,184963242,N,0,,723,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Dutch Harbor,Dutch Harbor,CLEVELAND,3,United States,United States,Aleutians West,16,,0,,0,149273809,0,"53,281",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_723,DIF,,,CB,0,0,0,,Unalaska Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,8/15/79,53.77996605,-166.2485582,POSTAL,COMMERCIAL LENDING,4,OH,AK,OH,39035,02016,Ohio,Alaska,2,245128,0,1,6/30/24,44114,99692,99692,44114
101 W Benson Blvd,127 Public Sq,184963242,N,0,,714,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Anchorage,Anchorage,CLEVELAND,3,United States,United States,Anchorage,20,,0,,0,149273809,0,"702,859",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_714,DIF,,,CB,1,0,11260,"Anchorage, AK",101 West Benson Boulevard Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,7/10/76,61.19437981,-149.8846176,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02020,Ohio,Alaska,2,15509,0,1,6/30/24,44114,99503,99503,44114
9041 Old Seward Hwy,127 Public Sq,184963242,N,0,,716,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Anchorage,Anchorage,CLEVELAND,3,United States,United States,Anchorage,20,,0,,0,149273809,0,"66,775",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_716,DIF,,,CB,1,0,11260,"Anchorage, AK",Southside Anchorage Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/25/85,61.13856388,-149.8636572,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02020,Ohio,Alaska,2,254341,0,1,6/30/24,44114,99515,99515,44114
100 Cushman St,127 Public Sq,184963242,N,0,,717,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Fairbanks,Fairbanks,CLEVELAND,3,United States,United States,Fairbanks North Star,90,,0,,0,149273809,0,"66,132",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_717,DIF,,,CB,1,0,21820,"Fairbanks-College, AK",Fairbanks Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,1/1/05,64.84357501,-147.72188,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02090,Ohio,Alaska,2,11184,0,1,6/30/24,44114,99701,99701,44114
33 College Rd,127 Public Sq,184963242,N,0,,718,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Fairbanks,Fairbanks,CLEVELAND,3,United States,United States,Fairbanks North Star,90,,0,,0,149273809,0,"37,189",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_718,DIF,,,CB,1,0,21820,"Fairbanks-College, AK",College Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,1/1/05,64.85093201,-147.706176,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02090,Ohio,Alaska,2,240640,0,1,6/30/24,44114,99701,99701,44114
"8800 Glacier Hwy, Ste 101",127 Public Sq,184963242,N,0,,727,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Juneau,Juneau,CLEVELAND,3,United States,United States,Juneau,110,,0,,0,149273809,0,"64,295",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_727,DIF,,,CB,0,1,0,,Mendenhall Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,2/15/74,58.36394601,-134.578682,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02110,Ohio,Alaska,2,245495,0,1,6/30/24,44114,99801,99801,44114
801 Frontage Rd,127 Public Sq,184963242,N,0,,722,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Kenai,Kenai,CLEVELAND,3,United States,United States,Kenai Peninsula,122,,0,,0,149273809,0,"65,575",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_722,DIF,,,CB,0,0,0,,Kenai Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,3/29/61,60.554055,-151.256308,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02122,Ohio,Alaska,2,245124,0,1,6/30/24,44114,99611,99611,44114
2501 Tongass Ave,127 Public Sq,184963242,N,0,,730,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Ketchikan,Ketchikan,CLEVELAND,3,United States,United States,Ketchikan Gateway,130,,0,,0,149273809,0,"26,095",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_730,DIF,,,CB,0,1,0,,Ketchikan Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,2/1/90,55.34939001,-131.675918,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02130,Ohio,Alaska,2,254345,0,1,6/30/24,44114,99901,99901,44114
422 W Marine Way,127 Public Sq,184963242,N,0,,731,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Kodiak,Kodiak,CLEVELAND,3,United States,United States,Kodiak Island,150,,0,,0,149273809,0,"13,015",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_731,DIF,,,CB,0,0,0,,Kodiak Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,10/3/90,57.78854198,-152.407092,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02150,Ohio,Alaska,2,254346,0,1,6/30/24,44114,99615,99615,44114
201 N Lucille St,127 Public Sq,184963242,N,0,,724,11,"Full Service, Brick and Mortar Office",CALL,0,,17534,FED,Comptroller of the Currency,OCC,Cleveland,Wasilla,Wasilla,CLEVELAND,3,United States,United States,Matanuska-Susitna,170,,0,,0,149273809,0,"43,468",0,0,,9,Chicago,4,Cleveland,MULT,2024_17534_724,DIF,,,CB,1,0,11260,"Anchorage, AK",North Lucille Street Branch,KeyBank National Association,KEYCORP,,,6,Large Bank,0,OCC,1068025,280110,6/30/97,100,11/7/88,61.58149901,-149.450264,EXACT,COMMERCIAL LENDING,4,OH,AK,OH,39035,02170,Ohio,Alaska,2,254342,0,1,6/30/24,44114,99654,99654,44114
